INSTÂNCIA, SOLUCÃO, TEMPO MÉDIO
TIC01-10-10-3.in, 179.75, 0.524621
TIC03-40-40-3.in, 742.417, 1.52121
TIC04-30-30-3.in, 737.5, 1.22926
TIC04-50-50-3.in, 773.083, 1.81259
TIC07-10-10-3.in, 159.417, 0.588808
TIC08-30-30-3.in, 504.75, 1.16111
TIC08-40-40-3.in, 568, 1.57505
TIC10-10-10-3.in, 142.333, 0.542855
TIC10-20-20-3.in, 282.917, 0.876283
TIC11-40-40-4.in, 655.083, 1.50529
TIC11-50-50-4.in, 669.4, 2.43119
TIC16-30-30-4.in, 585.117, 2.07349
TIC17-10-10-4.in, 204.5, 0.994149
TIC19-10-10-4.in, 168, 0.957585
TIC20-20-20-4.in, 322.617, 1.11531
TIC37-30-30-4.in, 576.483, 1.94587
TIC38-10-10-4.in, 240.283, 1.30308
TIC40-40-40-4.in, 624.6, 2.03178
TIC40-50-50-4.in, 716, 2.98898
TIC42-30-30-3.in, 563.667, 1.91257
TIC44-30-30-3.in, 508, 1.63666
TIC44-40-40-3.in, 675.5, 2.3585
TIC45-50-50-3.in, 980.667, 2.86255
TIC46-30-30-3.in, 500.917, 2.20522
TIC47-20-20-3.in, 263.667, 1.7132
TIC47-50-50-3.in, 966.75, 3.25229
TIC48-20-20-3.in, 370, 1.44129
TIC49-20-20-3.in, 301, 1.45671
TIC50-10-10-3.in, 211.333, 0.870152
TIC52-10-10-4.in, 247.983, 0.66396
TIC52-40-40-4.in, 580.65, 2.35389
TIC53-20-20-4.in, 363.067, 1.44238
TIC53-50-50-4.in, 920.95, 3.28685
TIC54-40-40-4.in, 631.783, 2.89296
TIC55-20-20-4.in, 335.967, 1.64749
TIC56-20-20-4.in, 378.867, 1.8401
TIC58-40-40-4.in, 630.783, 2.75766
TIC58-50-50-4.in, 795.883, 2.34027
TIC59-50-50-4.in, 708.983, 1.97159
TIC60-30-30-4.in, 387.667, 1.26965