populacao, numavaliacoes, taxacuzamento, taxamutcao
GENÉTICO + SPLIT,,,
746,141656,0.7221,0.3117
721,188407 ,0.6392 ,0.3614
GENÉTICO + SCX,,,
970, 485152, 0.539, 0.7299
921, 422222, 0.5705, 0.4801
687, 457903, 0.6984, 0.803
760, 280965, 0.0094, 0.68
GENÉTICO + SCX BASED,,,
872, 266409, 0.4889, 0.9618
977, 114681, 0.6193, 0.7122
958, 710792, 0.4022, 0.9655
967, 103008, 0.268, 0.8667
MEMÉTICO + SPLIT,,,
915, 581874, 0.1306, 0.8872
986, 352467, 0.7224, 0.9797
997, 163709, 0.9458, 0.9955
972, 237204, 0.1758, 0.7423
MEMÉTICO + SCX,,,
920, 1679278, 0.3034, 0.7865
956, 1652733, 0.1766, 0.9338
916, 1570229, 0.3087, 0.9373
828, 1870220, 0.1438, 0.9218
MEMÉTICO + SCX BASED,,,
764, 189297, 0.6209, 0.8028
789, 601981, 0.618, 0.8473
500, 149521, 0.2314, 0.9705
763, 771756, 0.7843, 0.9416